VIN,Rate,Financed,Total,Monthly Payment,Down
NM0LS7E23L1467886,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E22L1467894,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E20L1454626,5.49,"34,196.44","46,420.60",$ 654.51,"7,150.00"
NM0LS7E21L1449855,5.49,"34,196.44","46,420.60",$ 654.51,"7,150.00"
NM0LS7E24L1467895,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E25L1467887,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E23L1441739,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E25L1467890,6.59,"34,236.00","47,137.80",$ 673.13,"6,750.00"
NM0LS7E27L1453344,5.49,"34,196.44","46,420.60",$ 654.51,"7,150.00"
NM0LS7E20L1461933,5.49,"34,196.44","46,420.60",$ 654.51,"7,150.00"
